recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,35,1777343833340212606,1777343833680587606,340.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,36,1777343836232967606,1777343836493212606,260.245
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,37,1777343838575087606,1777343838810337606,235.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,38,1777343838825337606,1777343839120712606,295.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,39,1777343840581962606,1777343840862344606,280.382
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,40,1777343840867337606,1777343841117462606,250.125
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,41,1777343841487836606,1777343841778087606,290.251
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,42,1777343842468837606,1777343842723961606,255.124
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,43,1777343842728969606,1777343843009336606,280.367
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,44,1777343843159461606,1777343843474716606,315.255
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,45,1777343844130336606,1777343844435586606,305.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,46,1777343844520720606,1777343844845966606,325.246
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,47,1777343846297336606,1777343846532586606,235.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,48,1777343846537586606,1777343846792836606,255.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,49,1777343849400214606,1777343849745586606,345.372
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,50,1777343849875711606,1777343850160968606,285.257
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,51,1777343852758461606,1777343853078711606,320.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,52,1777343856241710606,1777343856561968606,320.258
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,53,1777343856667085606,1777343856957335606,290.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,54,1777343860295460606,1777343860635710606,340.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,55,1777343861426462606,1777343861776835606,350.373
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,56,1777343861781843606,1777343862172220606,390.377
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,57,1777343862317339606,1777343862617584606,300.245
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,58,1777343862627595606,1777343862832835606,205.24
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,59,1777343863083084606,1777343863403334606,320.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,60,1777343863443335606,1777343863743710606,300.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,61,1777343863773709606,1777343864023959606,250.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,62,1777343864063959606,1777343864359209606,295.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,63,1777343864379209606,1777343864644475606,265.266
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,64,1777343864739584606,1777343865109959606,370.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,65,1777343865225089606,1777343865520334606,295.245
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,66,1777343865910709606,1777343866220959606,310.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,67,1777343866230959606,1777343866551349606,320.39
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,68,1777343868297963606,1777343868528209606,230.246
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,69,1777343868893459606,1777343869153709606,260.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,70,1777343869158709606,1777343869509084606,350.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,71,1777343869539084606,1777343869849334606,310.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,72,1777343871445833606,1777343871741208606,295.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,73,1777343871831213606,1777343872131466606,300.253
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,74,1777343872606962606,1777343872917208606,310.246
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,75,1777343872972333606,1777343873297583606,325.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,76,1777343874884083606,1777343875274458606,390.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,77,1777343875339458606,1777343875684833606,345.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,78,1777343875729833606,1777343876045208606,315.375
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,79,1777343876175333606,1777343876465583606,290.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,80,1777343876971083606,1777343877241333606,270.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,81,1777343877261337606,1777343877536583606,275.246
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,82,1777343877646708606,1777343877931957606,285.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,83,1777343878057083606,1777343878377332606,320.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,84,1777343878522457606,1777343878817707606,295.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,85,1777343879258207606,1777343879553457606,295.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,86,1777343879638582606,1777343879978832606,340.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,87,1777343881645457606,1777343881900713606,255.256
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,88,1777343881920707606,1777343882210957606,290.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,89,1777343883672332606,1777343884022582606,350.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,90,1777343884127707606,1777343884432956606,305.249
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,91,1777343886394831606,1777343886640081606,245.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,92,1777343887821206606,1777343888096456606,275.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,93,1777343889843089606,1777343890098330606,255.241
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,94,1777343890218460606,1777343890513705606,295.245
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,95,1777343892625705606,1777343892965955606,340.25
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,96,1777343893161205606,1777343893491455606,330.25
